username,password,store_url
janedoe@example.com,password,magento114.dev
johndoe@example.com,password,magento114.dev
johnsmith@example.com,password,magento114.dev
drew@example.com,password,magento114.dev
erich@example.com,password,magento114.dev
jerry@example.com,password,magento114.dev
janesmith@example.com,password,magento114.dev
clay@example.com,password,magento114.dev
theo@example.com,password,magento114.dev
dong@example.com,password,magento114.dev
seema@example.com,password,magento114.dev
tanja@example.com,password,magento114.dev
kip@example.com,password,magento114.dev
delena@example.com,password,magento114.dev
janedoe@example.com,password,wholesale.magento114.dev
johndoe@example.com,password,wholesale.magento114.dev
johnsmith@example.com,password,wholesale.magento114.dev
drew@example.com,password,wholesale.magento114.dev
erich@example.com,password,wholesale.magento114.dev
wholesaleuser@example.com,password,wholesale.magento114.dev
james@example.com,password,wholesale.magento114.dev
